Timestamp,Container,CPU Usage,Memory Usage
2023-11-25 0:42,Visualizer,60.05%,297.5
2023-11-25 0:42,EVAM,19.97%,80.27
2023-11-25 0:47,Visualizer,62.90%,297.5
2023-11-25 0:47,EVAM,19.58%,80.28
2023-11-25 0:52,Visualizer,61.25%,297.5
2023-11-25 0:52,EVAM,20.70%,80.43
2023-11-25 0:58,Visualizer,59.49%,297.5
2023-11-25 0:58,EVAM,19.40%,80.29
2023-11-25 1:03,Visualizer,59.83%,297.5
2023-11-25 1:03,EVAM,18.44%,80.28
2023-11-25 1:08,Visualizer,58.81%,297.6
2023-11-25 1:08,EVAM,19.36%,80.41
2023-11-25 1:13,Visualizer,61.71%,297.5
2023-11-25 1:13,EVAM,19.06%,80.41
2023-11-25 1:18,Visualizer,59.06%,297.5
2023-11-25 1:18,EVAM,18.12%,80.43
2023-11-25 1:23,Visualizer,60.96%,297.5
2023-11-25 1:23,EVAM,19.53%,80.78
2023-11-25 1:28,Visualizer,48.51%,297.5
2023-11-25 1:28,EVAM,15.32%,79.1
2023-11-25 1:33,Visualizer,46.69%,297.5
2023-11-25 1:33,EVAM,16.01%,78.86
2023-11-25 1:38,Visualizer,46.48%,297.5
2023-11-25 1:38,EVAM,14.58%,79.05
2023-11-25 1:43,Visualizer,48.57%,297.5
2023-11-25 1:43,EVAM,15.19%,78.86
2023-11-25 1:48,Visualizer,47.12%,297.5
2023-11-25 1:48,EVAM,16.93%,82.99
2023-11-25 1:53,Visualizer,47.70%,297.5
2023-11-25 1:53,EVAM,15.96%,78.43
2023-11-25 1:58,Visualizer,47.67%,297.5
2023-11-25 1:58,EVAM,16.71%,78.68
2023-11-25 2:03,Visualizer,47.24%,297.5
2023-11-25 2:03,EVAM,16.15%,79.02
2023-11-25 2:08,Visualizer,45.66%,297.5
2023-11-25 2:08,EVAM,15.84%,79.02
2023-11-25 2:14,Visualizer,49.83%,297.5
2023-11-25 2:14,EVAM,15.84%,79.07
2023-11-25 2:19,Visualizer,49.85%,297.5
2023-11-25 2:19,EVAM,16.34%,87.59
2023-11-25 2:24,Visualizer,49.02%,297.5
2023-11-25 2:24,EVAM,14.62%,78.73
2023-11-25 2:29,Visualizer,48.96%,297.5
2023-11-25 2:29,EVAM,17.58%,79
2023-11-25 2:34,Visualizer,48.73%,297.5
2023-11-25 2:34,EVAM,14.87%,78.96
2023-11-25 2:39,Visualizer,47.41%,297.5
2023-11-25 2:39,EVAM,15.68%,78.85
2023-11-25 2:44,Visualizer,46.06%,297.5
2023-11-25 2:44,EVAM,17.26%,87.47
2023-11-25 2:49,Visualizer,48.85%,297.5
2023-11-25 2:49,EVAM,15.64%,78.91
2023-11-25 2:54,Visualizer,47.51%,297.5
2023-11-25 2:54,EVAM,15.65%,78.86
2023-11-25 2:59,Visualizer,46.83%,297.5
2023-11-25 2:59,EVAM,16.07%,81.71
2023-11-25 3:04,Visualizer,50.54%,297.5
2023-11-25 3:04,EVAM,15.00%,78.7
2023-11-25 3:09,Visualizer,51.13%,297.5
2023-11-25 3:09,EVAM,15.31%,79.06
2023-11-25 3:14,Visualizer,48.41%,297.5
2023-11-25 3:14,EVAM,17.40%,78.94
2023-11-25 3:20,Visualizer,47.51%,297.5
2023-11-25 3:20,EVAM,13.99%,78.85
2023-11-25 3:25,Visualizer,46.85%,297.5
2023-11-25 3:25,EVAM,16.23%,79.05
2023-11-25 3:30,Visualizer,47.70%,297.5
2023-11-25 3:30,EVAM,16.21%,79.28
